fiyat,genislik,toplam_hacim,yukseklik,derinlik
48.690 TL,70 cm,526-550 L,186 cm,80 cm
10.999 TL,40 cm,200 L ve altı,57 cm,47 cm
12.390 TL,65 cm,276-300 L,160 cm,65 cm
57.900 TL,78 cm,576-600 L,187 cm,78 cm
43.990 TL,86 cm,576-600 L,186 cm,80 cm
42.900 TL,60 - 75 cm,600 L +,180 - 195 cm,70 - 75 cm
32.999 TL,70 cm,376-400 L,172 cm,70 cm
43.000 TL,84 cm,576-600 L,194 cm,78 cm
21.449 TL,70 cm,501-525 L,185 cm,72 cm
48.000 TL,,90 - 200 L,,
100.000 TL,91 cm,600-625 L,175 cm,75 cm
5.500 TL,44 cm,200 L ve altı,57 cm,46 cm
53.400 TL,70 cm,526-550 L,188 cm,70 cm
46.000 TL,79 cm,526-550 L,186 cm,72 cm
45.000 TL,60 - 75 cm,400 - 600 L,180 - 195 cm,60 - 65 cm
38.999 TL,70 cm,476-500 L,186 cm,80 cm
25.999 TL,70 cm,451-475 L,182 cm,72 cm
32.800 TL,76 cm,451-475 L,178 cm,72 cm
36.399 TL,79 cm,501-525 L,179 cm,72 cm
49.999 TL,84 cm,576-600 L,186 cm,75 cm
30.999 TL,70 cm,476-500 L,172 cm,70 cm
35.999 TL,74 cm,551-575 L,186 cm,80 cm
49.000 TL,70 cm,501-525 L,193 cm,80 cm
26.799 TL,60 cm,401-425 L,186 cm,65 cm
15.249 TL,54 cm,251-275 L,161 cm,59 cm
32.999 TL,90 cm,526-550 L,177 cm,71 cm
29.999 TL,70 cm,326-350 L,178 cm,65 cm
56.999 TL,78 cm,551-575 L,188 cm,76 cm
38.000 TL,75 cm,526-550 L,186 cm,80 cm
29.999 TL,70 cm,451-475 L,186 cm,72 cm
21.601 TL,70 cm,401-425 L,173 cm,72 cm
6.666 TL,48 cm,200 L ve altı,84 cm,59 cm
32.459 TL,70 cm,476-500 L,186 cm,74 cm
56.750 TL,75 cm,526-550 L,186 cm,80 cm
39.449 TL,78 cm,551-575 L,198 cm,76 cm
79.499 TL,89 cm,601+ L,183 cm,72 cm
10.999 TL,47 cm,200 L ve altı,81 cm,50 cm
47.000 TL,84 cm,476-500 L,179 cm,69 cm
45.999 TL,70 cm,526-550 L,188 cm,70 cm
23.397 TL,70 cm,401-425 L,185 cm,64 cm
32.999 TL,60 cm,476-500 L,180 cm,60 cm
35.000 TL,70 cm,476-500 L,186 cm,74 cm
27.001 TL,70 cm,451-475 L,187 cm,72 cm
30.000 TL,71 cm,426-450 L,173 cm,70 cm
25.999 TL,70 cm,576-600 L,186 cm,72 cm
19.999 TL,70 cm,451-475 L,187 cm,72 cm
48.990 TL,75 cm,526-550 L,186 cm,80 cm
65.999 TL,86 cm,601+ L,186 cm,82 cm
45.001 TL,76 cm,501-525 L,186 cm,75 cm
79.900 TL,70 cm,476-500 L,186 cm,78 cm
49.480 TL,86 cm,576-600 L,186 cm,80 cm
28.300 TL,70 cm,451-475 L,185 cm,70 cm
41.999 TL,78 cm,551-575 L,186 cm,72 cm
14.001 TL,54 cm,200 L ve altı,83 cm,59 cm
36.999 TL,78 cm,551-575 L,186 cm,75 cm
29.899 TL,60 cm,326-350 L,190 cm,68 cm
68.000 TL,75 cm,526-550 L,186 cm,78 cm
62.800 TL,,600 L +,,84 cm
28.900 TL,70 cm,476-500 L,188 cm,70 cm
45.999 TL,79 cm,401-425 L,180 cm,70 cm
39.666 TL,70 cm,526-550 L,188 cm,70 cm
72.499 TL,92 cm,601+ L,183 cm,87 cm
41.001 TL,84 cm,576-600 L,186 cm,75 cm
57.999 TL,70 cm,526-550 L,185 cm,70 cm
42.299 TL,70 cm,501-525 L,193 cm,80 cm
67.000 TL,91 cm,501-525 L,190 cm,69 cm
52.399 TL,76 cm,476-500 L,192 cm,73 cm
"24.373,98 TL",70 cm,401-425 L,185 cm,65 cm
61.000 TL,91 cm,576-600 L,185 cm,75 cm
22.001 TL,54 cm,251-275 L,166 cm,63 cm
44.899 TL,83 cm,601+ L,192 cm,75 cm
30.000 TL,79 cm,476-500 L,199 cm,79 cm
