fiyat,genislik,toplam_hacim,yukseklik,derinlik
37.119 TL,54 cm,201-225 L,178 cm,55 cm
26.690 TL,70 cm,451-475 L,183 cm,72 cm
64.999 TL,83 cm,451-475 L,187 cm,76 cm
"54.997,45 TL",60 cm,301-325 L,180 cm,60 cm
27.999 TL,70 cm,401-425 L,185 cm,66 cm
26.999 TL,54 cm,251-275 L,160 cm,59 cm
40.199 TL,84 cm,451-475 L,186 cm,75 cm
222.180 TL,55 cm,551-575 L,122 cm,55 cm
5.750 TL,44 cm,200 L ve altı,56 cm,46 cm
18.861 TL,34 cm,200 L ve altı,,30 cm ve altı
26.000 TL,70 cm,451-475 L,187 cm,72 cm
53.499 TL,70 cm,476-500 L,192 cm,75 cm
20.999 TL,70 cm,576-600 L,187 cm,72 cm
23.460 TL,70 cm,426-450 L,185 cm,65 cm
64.990 TL,48 cm,201-225 L,84 cm,57 cm
23.831 TL,,200 L ve altı,41 cm,30 cm ve altı
51.609 TL,75 cm,526-550 L,186 cm,84 cm
29.995 TL,74 cm,476-500 L,183 cm,70 cm
45.050 TL,79 cm,526-550 L,185 cm,72 cm
"30.376,61 TL",70 cm,476-500 L,187 cm,75 cm
11.439 TL,54 cm,576-600 L,83 cm,59 cm
47.990 TL,58 cm,200 L ve altı,,48 cm
10.399 TL,59 cm,201-225 L,83 cm,54 cm
73.435 TL,78 cm,551-575 L,187 cm,76 cm
36.800 TL,70 cm,476-500 L,186 cm,74 cm
13.299 TL,54 cm,200 L ve altı,84 cm,59 cm
58.000 TL,84 cm,476-500 L,179 cm,69 cm
55.000 TL,75 cm,526-550 L,186 cm,74 cm
57.000 TL,83 cm,601+ L,187 cm,76 cm
49.999 TL,70 cm,501-525 L,192 cm,74 cm
44.450 TL,70 cm,501-525 L,192 cm,74 cm
8.149 TL,47 cm,200 L ve altı,82 cm,50 cm
54.900 TL,83 cm,576-600 L,187 cm,83 cm
41.899 TL,84 cm,576-600 L,186 cm,75 cm
77.499 TL,90 cm,526-550 L,190 cm,90 cm
52.999 TL,78 cm,551-575 L,186 cm,75 cm
55.000 TL,74 cm,576-600 L,186 cm,75 cm
20.000 TL,59 cm,200 L ve altı,,54 cm
47.899 TL,60 cm,326-350 L,191 cm,68 cm
56.901 TL,84 cm,576-600 L,186 cm,75 cm
23.999 TL,60 cm,200 L ve altı,82 cm,55 cm
39.999 TL,76 cm,526-550 L,186 cm,75 cm
85.999 TL,89 cm,401-425 L,183 cm,70 cm
"49.135,61 TL",69 cm,476-500 L,196 cm,75 cm
20.328 TL,,200 L ve altı,,30 cm ve altı
39.458 TL,79 cm,501-525 L,179 cm,72 cm
13.999 TL,45 - 60 cm,90 - 200 L,,50 - 60 cm
21.599 TL,41 cm,200 L ve altı,72 cm,55 cm
56.599 TL,75 cm,576-600 L,186 cm,80 cm
29.199 TL,70 cm,451-475 L,185 cm,70 cm
30.219 TL,70 cm,501-525 L,185 cm,72 cm
17.999 TL,70 cm,401-425 L,173 cm,72 cm
17.134 TL,,200 L ve altı,,30 cm ve altı
49.201 TL,70 cm,451-475 L,186 cm,71 cm
44.999 TL,74 cm,476-500 L,186 cm,75 cm
41.819 TL,70 cm,501-525 L,193 cm,80 cm
19.100 TL,46 cm,201-225 L,130 cm,50 cm
31.999 TL,70 cm,426-450 L,185 cm,66 cm
32.500 TL,70 cm,476-500 L,192 cm,71 cm
278.414 TL,60 cm,226-250 L,162 cm,61 cm
41.444 TL,70 cm,476-500 L,192 cm,75 cm
14.998 TL,,200 L ve altı,,30 cm ve altı
39.999 TL,70 cm,451-475 L,185 cm,70 cm
28.000 TL,,400 - 600 L,,
40.500 TL,75 cm,501-525 L,176 cm,84 cm
34.000 TL,70 cm,401-425 L,185 cm,66 cm
10.899 TL,47 cm,201-225 L,82 cm,50 cm
35.000 TL,70 cm,501-525 L,187 cm,72 cm
56.500 TL,84 cm,526-550 L,186 cm,75 cm
45.250 TL,63 cm,401-425 L,184 cm,75 cm
6.999 TL,44 cm,201-225 L,50 cm,47 cm
23.599 TL,54 cm,251-275 L,160 cm,59 cm
49.999 TL,78 cm,551-575 L,187 cm,76 cm
42.199 TL,84 cm,576-600 L,186 cm,75 cm
12.000 TL,66 cm,200 L ve altı,73 cm,45 cm
32.500 TL,,90 - 200 L,,
31.799 TL,70 cm,451-475 L,183 cm,72 cm
22.499 TL,57 cm,200 L ve altı,59 cm,47 cm
24.999 TL,60 cm,90 - 200 L,84 cm,64 cm
60.999 TL,90 cm,501-525 L,190 cm,69 cm
48.500 TL,74 cm,526-550 L,186 cm,75 cm
49.999 TL,70 cm,476-500 L,192 cm,73 cm
38.599 TL,70 cm,451-475 L,187 cm,72 cm
31.899 TL,60 cm,326-350 L,190 cm,68 cm
44.999 TL,71 cm,451-475 L,191 cm,75 cm
25.500 TL,70 cm,376-400 L,170 cm,62 cm
74.000 TL,56 cm,200 L ve altı,45 cm,56 cm
50.000 TL,70 cm,501-525 L,192 cm,75 cm
99.000 TL,59 cm,301-325 L,172 cm,65 cm
17.134 TL,,200 L ve altı,,30 cm ve altı
53.200 TL,78 cm,551-575 L,186 cm,75 cm
16.999 TL,59 cm,301-325 L,174 cm,60 cm
56.749 TL,84 cm,576-600 L,186 cm,75 cm
"21.339,03 TL",59 cm,200 L ve altı,82 cm,54 cm
"47.999,99 TL",70 cm,501-525 L,193 cm,80 cm
38.800 TL,70 cm,476-500 L,192 cm,73 cm
69.950 TL,54 cm,251-275 L,177 cm,54 cm
43.650 TL,70 cm,476-500 L,186 cm,80 cm
79.600 TL,69 cm,301-325 L,193 cm,55 cm
15.966 TL,39 cm,376-400 L,,35 cm
67.867 TL,54 cm,226-250 L,177 cm,54 cm
99.999 TL,59 cm,201-225 L,45 cm,55 cm
21.799 TL,54 cm,251-275 L,160 cm,60 cm
55.749 TL,78 cm,551-575 L,186 cm,75 cm
67.867 TL,54 cm,226-250 L,177 cm,54 cm
38.500 TL,60 - 75 cm,400 - 600 L,180 - 195 cm,75 cm +
44.000 TL,78 cm,501-525 L,178 cm,75 cm
40.999 TL,59 cm,301-325 L,186 cm,66 cm
34.999 TL,70 cm,451-475 L,187 cm,75 cm
67.799 TL,91 cm,576-600 L,185 cm,75 cm
"38.584,82 TL",54 cm,226-250 L,177 cm,54 cm
44.999 TL,84 cm,576-600 L,194 cm,78 cm
22.999 TL,50 cm,200 L ve altı,83 cm,46 cm
67.872 TL,45 - 60 cm,200 - 400 L,165 - 180 cm,50 - 60 cm
13.500 TL,54 cm,90 - 200 L,83 cm,59 cm
27.500 TL,43 cm,200 L ve altı,74 cm,52 cm
27.500 TL,59 cm,251-275 L,180 cm,59 cm
64.352 TL,70 cm,501-525 L,192 cm,74 cm
"32.166,75 TL",36 cm,200 L ve altı,69 cm,46 cm
59.500 TL,78 cm,551-575 L,187 cm,76 cm
39.600 TL,54 cm,301-325 L,177 cm,54 cm
49.999 TL,70 cm,451-475 L,187 cm,75 cm
34.995 TL,70 cm,476-500 L,182 cm,72 cm
46.900 TL,60 cm,376-400 L,180 cm,60 cm
57.133 TL,70 cm,501-525 L,192 cm,72 cm
64.999 TL,83 cm,601+ L,187 cm,76 cm
14.400 TL,,,,
12.449 TL,48 cm,201-225 L,82 cm,50 cm
24.648 TL,70 cm,451-475 L,185 cm,65 cm
101.728 TL,69 cm,401-425 L,193 cm,54 cm
"54.914,25 TL",70 cm,451-475 L,192 cm,71 cm
39.900 TL,60 cm,326-350 L,190 cm,68 cm
41.399 TL,70 cm,451-475 L,187 cm,75 cm
67.881 TL,56 cm,226-250 L,177 cm,55 cm
19.001 TL,54 cm,226-250 L,161 cm,57 cm
15.000 TL,,,,
59.000 TL,84 cm,601+ L,187 cm,79 cm
47.899 TL,60 cm,326-350 L,191 cm,68 cm
41.000 TL,,400 - 600 L,,
56.999 TL,78 cm,551-575 L,186 cm,75 cm
45.000 TL,71 cm,451-475 L,191 cm,75 cm
43.900 TL,76 cm,501-525 L,176 cm,72 cm
59.499 TL,70 cm,501-525 L,192 cm,74 cm
29.000 TL,70 cm,451-475 L,180 cm,66 cm
43.198 TL,69 cm,601+ L,196 cm,71 cm
49.301 TL,70 cm,476-500 L,192 cm,73 cm
"499,89 TL",74 cm,526-550 L,186 cm,75 cm
39.564 TL,70 cm,476-500 L,185 cm,72 cm
58.999 TL,84 cm,576-600 L,186 cm,75 cm
59.000 TL,74 cm,526-550 L,186 cm,75 cm
36.199 TL,70 cm,451-475 L,183 cm,71 cm
46.199 TL,79 cm,501-525 L,179 cm,72 cm
44.000 TL,70 cm,476-500 L,192 cm,73 cm
28.800 TL,70 cm,451-475 L,183 cm,72 cm
57.133 TL,70 cm,501-525 L,192 cm,72 cm
108.003 TL,56 cm,251-275 L,178 cm,55 cm
76.734 TL,,,,
24.799 TL,70 cm,426-450 L,185 cm,70 cm
63.399 TL,70 cm,501-525 L,192 cm,72 cm
44.199 TL,60 cm,326-350 L,191 cm,68 cm
"24.999,99 TL",55 cm,226-250 L,143 cm,53 cm
44.000 TL,74 cm,501-525 L,186 cm,75 cm
30.999 TL,60 cm,326-350 L,186 cm,65 cm
7.900 TL,47 cm,200 L ve altı,81 cm,50 cm
"44.238,88 TL",54 cm,226-250 L,177 cm,54 cm
62.900 TL,70 cm,501-525 L,192 cm,71 cm
38.400 TL,60 cm,301-325 L,186 cm,70 cm
"48.250,12 TL",81 cm,200 L ve altı,67 cm,40 cm
28.999 TL,70 cm,476-500 L,183 cm,73 cm
"57.400,46 TL",78 cm,551-575 L,186 cm,75 cm
57.199 TL,79 cm,551-575 L,186 cm,72 cm
69.740 TL,55 cm,276-300 L,193 cm,55 cm
18.499 TL,60 cm,576-600 L,172 cm,66 cm
43.500 TL,59 cm,301-325 L,186 cm,66 cm
6.299 TL,40 cm,200 L ve altı,45 cm,45 cm
63.983 TL,78 cm,551-575 L,186 cm,75 cm
39.999 TL,84 cm,576-600 L,186 cm,75 cm
9.899 TL,43 cm,200 L ve altı,54 cm,39 cm
34.999 TL,59 cm,301-325 L,186 cm,66 cm
36.750 TL,60 cm,601+ L,,60 cm
7.999 TL,48 cm,201-225 L,82 cm,50 cm
29.999 TL,70 cm,476-500 L,187 cm,74 cm
41.799 TL,70 cm,476-500 L,185 cm,73 cm
47.899 TL,60 cm,326-350 L,191 cm,68 cm
"45.033,45 TL",,200 - 400 L,,
62.597 TL,74 cm,526-550 L,186 cm,76 cm
51.599 TL,70 cm,501-525 L,192 cm,75 cm
67.999 TL,76 cm,526-550 L,186 cm,73 cm
35.000 TL,60 cm,376-400 L,198 cm,58 cm
26.399 TL,70 cm,401-425 L,185 cm,66 cm
28.999 TL,70 cm,576-600 L,192 cm,72 cm
164.350 TL,60 cm,451-475 L,176 cm,67 cm
7.799 TL,,0 - 90 L,,
24.900 TL,70 cm,351-375 L,172 cm,65 cm
56.261 TL,74 cm,551-575 L,186 cm,75 cm
59.499 TL,56 cm,276-300 L,178 cm,55 cm
12.299 TL,54 cm,200 L ve altı,83 cm,59 cm
64.199 TL,84 cm,476-500 L,179 cm,69 cm
28.000 TL,55 cm,251-275 L,160 cm,55 cm
47.999 TL,50 cm,200 L ve altı,99 cm,51 cm
50.001 TL,71 cm,451-475 L,191 cm,75 cm
49.001 TL,70 cm,476-500 L,192 cm,73 cm
24.900 TL,99 cm,0 - 90 L,79 cm,70 cm
42.777 TL,70 cm,476-500 L,192 cm,75 cm
9.000 TL,48 cm,200 L ve altı,82 cm,50 cm
32.999 TL,76 cm,501-525 L,186 cm,75 cm
"39.359,20 TL",38 cm,201-225 L,76 cm,58 cm
38.899 TL,60 cm,301-325 L,179 cm,63 cm
49.499 TL,84 cm,576-600 L,186 cm,75 cm
100.000 TL,43 cm,200 L ve altı,62 cm,48 cm
28.000 TL,60 cm,201-225 L,87 cm,37 cm
72.150 TL,60 cm,251-275 L,165 cm,66 cm
61.890 TL,39 cm,200 L ve altı,60 cm,50 cm
12.200 TL,,90 - 200 L,,
31.280 TL,70 cm,476-500 L,186 cm,74 cm
67.799 TL,91 cm,576-600 L,185 cm,75 cm
30.999 TL,59 cm,301-325 L,186 cm,66 cm
56.775 TL,,,,
40.000 TL,60 cm,326-350 L,191 cm,68 cm
51.900 TL,70 cm,551-575 L,192 cm,74 cm
25.999 TL,40 cm,200 L ve altı,57 cm,50 cm
26.900 TL,41 cm,200 L ve altı,97 cm,48 cm
